# Solar Time by degree of longitude: 94 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon094W	-6:16	-	lon094W

# Solar Time by degree of longitude: 93 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon093W	-6:12	-	lon093W

# Solar Time by degree of longitude: 92 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon092W	-6:08	-	lon092W

# Solar Time by degree of longitude: 91 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon091W	-6:04	-	lon091W

# Solar Time by degree of longitude: 90 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon090W	-6:00	-	lon090W

# Solar Time by degree of longitude: 89 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon089W	-5:56	-	lon089W

# Solar Time by degree of longitude: 88 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon088W	-5:52	-	lon088W

# Solar Time by degree of longitude: 87 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon087W	-5:48	-	lon087W

# Solar Time by degree of longitude: 86 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon086W	-5:44	-	lon086W

# Solar Time by degree of longitude: 85 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon085W	-5:40	-	lon085W

# Solar Time by degree of longitude: 84 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon084W	-5:36	-	lon084W

# Solar Time by degree of longitude: 83 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon083W	-5:32	-	lon083W

# Solar Time by degree of longitude: 82 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon082W	-5:28	-	lon082W

# Solar Time by degree of longitude: 81 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon081W	-5:24	-	lon081W

# Solar Time by degree of longitude: 80 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon080W	-5:20	-	lon080W

# Solar Time by degree of longitude: 79 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon079W	-5:16	-	lon079W

# Solar Time by degree of longitude: 78 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon078W	-5:12	-	lon078W

# Solar Time by degree of longitude: 77 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon077W	-5:08	-	lon077W

